2022-11-29	99	OBSERVE	09:29:01	16:00:01
2022-11-30	-7	SELL	09:29:01	16:00:01
2022-12-01	-6	SELL	09:29:01	16:00:01
2022-12-02	-5	SELL	09:29:01	16:00:01
2022-12-05	-4	SELL	09:29:01	16:00:01
2022-12-06	-3	SELL	09:29:01	16:00:01
2022-12-07	-2	SELL	09:29:01	16:00:01
2022-12-08	-1	SELL	09:29:01	16:00:01
2022-12-09	0	BUY	09:29:01	16:00:01
2022-12-12	1	BUY	09:29:01	16:00:01
2022-12-13	2	BUY	09:29:01	16:00:01
2022-12-14	3	BUY	09:29:01	16:00:01
2022-12-15	4	BUY	09:29:01	16:00:01
2022-12-16	99	OBSERVE	09:29:01	16:00:01
2022-12-19	99	OBSERVE	09:29:01	16:00:01
2022-12-20	99	OBSERVE	09:29:01	16:00:01
2022-12-21	99	OBSERVE	09:29:01	16:00:01
2022-12-22	99	OBSERVE	09:29:01	16:00:01
2022-12-23	99	OBSERVE	09:29:01	16:00:01
2022-12-28	99	OBSERVE	09:29:01	16:00:01
2022-12-29	99	OBSERVE	09:29:01	16:00:01
2022-12-30	99	OBSERVE	09:29:01	16:00:01
2023-01-03	-7	SELL	09:29:01	16:00:01
2023-01-04	-6	SELL	09:29:01	16:00:01
2023-01-05	-5	SELL	09:29:01	16:00:01
2023-01-06	-4	SELL	09:29:01	16:00:01
2023-01-09	-3	SELL	09:29:01	16:00:01
2023-01-10	-2	SELL	09:29:01	16:00:01
2023-01-11	-1	SELL	09:29:01	10:13:45
2023-01-12	0	BUY	09:29:01	16:00:01
2023-01-13	1	BUY	09:29:01	16:00:01
2023-01-17	2	BUY	09:29:01	16:00:01
2023-01-18	3	BUY	09:29:01	16:00:01
2023-01-19	4	BUY	09:29:01	16:00:01
2023-01-20	99	OBSERVE	09:29:01	16:00:01
2023-01-23	99	OBSERVE	09:29:01	16:00:01
2023-01-24	99	OBSERVE	09:29:01	16:00:01
2023-01-25	99	OBSERVE	09:29:01	16:00:01
2023-01-26	99	OBSERVE	09:29:01	16:00:01
2023-01-27	99	OBSERVE	09:29:01	16:00:01
2023-01-30	99	OBSERVE	09:29:01	16:00:01
2023-01-31	99	OBSERVE	09:29:01	16:00:01
2023-02-01	-7	SELL	09:29:01	16:00:01
2023-02-02	-6	SELL	09:29:01	16:00:01
2023-02-03	-5	SELL	09:29:01	16:00:01
2023-02-06	-4	SELL	09:29:01	16:00:01
2023-02-07	-3	SELL	09:29:01	16:00:01
2023-02-08	-2	SELL	09:29:01	16:00:01
2023-02-09	-1	SELL	09:29:01	16:00:01
2023-02-10	0	BUY	09:29:01	16:00:01
2023-02-13	1	BUY	09:29:01	16:00:01
2023-02-14	2	BUY	09:29:01	16:00:01
2023-02-15	3	BUY	09:29:01	16:00:01
2023-02-16	4	BUY	09:29:01	16:00:01
2023-02-17	99	OBSERVE	09:29:01	16:00:01
2023-02-21	99	OBSERVE	09:29:01	16:00:01
2023-02-22	99	OBSERVE	09:29:01	16:00:01
2023-02-23	99	OBSERVE	09:29:01	16:00:01
2023-02-24	99	OBSERVE	09:29:01	16:00:01
2023-02-27	99	OBSERVE	09:29:01	16:00:01
2023-02-28	99	OBSERVE	09:29:01	16:00:01
2023-03-01	-7	SELL	09:29:01	16:00:01
2023-03-02	-6	SELL	09:29:01	16:00:01
2023-03-03	-5	SELL	09:29:01	16:00:01
2023-03-06	-4	SELL	09:29:01	16:00:01
2023-03-07	-3	SELL	09:29:01	16:00:01
2023-03-08	-2	SELL	09:29:01	16:00:01
2023-03-09	-1	SELL	09:29:01	16:00:01
2023-03-10	0	BUY	09:29:01	16:00:01
2023-03-13	1	BUY	09:29:01	16:00:01
2023-03-14	2	BUY	09:29:01	16:00:01
2023-03-15	3	BUY	09:29:01	16:00:01
2023-03-16	4	BUY	09:29:01	16:00:01
2023-03-17	99	OBSERVE	09:29:01	16:00:01
2023-03-20	99	OBSERVE	09:29:01	16:00:01
2023-03-22	99	OBSERVE	09:29:01	16:00:01
2023-03-23	99	OBSERVE	09:29:01	16:00:01
2023-03-24	99	OBSERVE	09:29:01	16:00:01
2023-03-27	99	OBSERVE	09:29:01	16:00:01
2023-03-28	99	OBSERVE	09:29:01	14:14:55
2023-03-29	99	OBSERVE	09:29:01	16:00:01
2023-03-31	-7	SELL	09:29:01	16:00:01
2023-04-03	-6	SELL	09:29:01	16:00:01
2023-04-04	-5	SELL	09:29:01	16:00:01
2023-04-05	-4	SELL	09:29:01	16:00:01
2023-04-06	-3	SELL	09:29:01	16:00:01
2023-04-10	-2	SELL	09:29:01	16:00:01
2023-04-11	-1	SELL	09:29:01	16:00:01
2023-04-12	0	BUY	09:29:01	16:00:01
2023-04-13	1	BUY	09:29:01	16:00:01
2023-04-14	2	BUY	09:29:01	16:00:01
2023-04-17	3	BUY	09:29:01	16:00:01
2023-04-18	4	BUY	09:29:01	16:00:01
2023-04-19	99	OBSERVE	09:29:01	16:00:01
2023-04-20	99	OBSERVE	09:29:01	16:00:01
2023-04-21	99	OBSERVE	09:29:01	16:00:01
2023-04-24	99	OBSERVE	09:29:01	16:00:01
2023-04-25	99	OBSERVE	09:29:01	16:00:01
2023-04-26	99	OBSERVE	09:46:54	16:00:01
2023-04-27	99	OBSERVE	09:29:01	16:00:01
2023-04-28	99	OBSERVE	09:29:01	16:00:01
2023-05-01	-7	SELL	09:29:01	16:00:01
2023-05-02	-6	SELL	09:29:01	16:00:01
2023-05-03	-5	SELL	09:29:01	16:00:01
2023-05-04	-4	SELL	09:29:01	16:00:01
2023-05-05	-3	SELL	09:29:01	16:00:01
2023-05-08	-2	SELL	09:29:01	16:00:01
2023-05-09	-1	SELL	09:29:01	16:00:01
2023-05-10	0	BUY	09:29:01	16:00:01
2023-05-11	1	BUY	09:29:01	16:00:01
2023-05-12	2	BUY	09:29:01	16:00:01
2023-05-15	3	BUY	09:29:01	16:00:01
2023-05-16	4	BUY	09:29:01	16:00:01
2023-05-17	99	OBSERVE	09:29:01	16:00:01
2023-05-18	99	OBSERVE	09:29:01	16:00:01
2023-05-19	99	OBSERVE	09:29:01	16:00:01
2023-05-22	99	OBSERVE	09:29:01	16:00:01
2023-05-23	99	OBSERVE	09:29:01	16:00:01
2023-05-24	99	OBSERVE	09:29:01	16:00:01
